ID,PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,DISTRICT_C,SHAPE_LENG,SHAPE_AREA,OBJECTID_1,OBJECTID,AREA,PERIMETER,LCODE_GEN,SQKM,REC_NUM_1,Elev_min,Elev_max,Slope_med,Relief_med,linkfield,Landform,Parent_Mat,Dominant_S,CODE,NAME,Shape_Leng_2,Shape_Le_1,Shape_Area_2
2001,1,PANCHTHAR,Gaunpalika,Falelung,2,71995.60696590002,207140709.23000001907,756,756,0.00998300000,1.83908400000,"11",109.57000000000,756,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",187009.68591000000,1.78491293674,0.00996604617
2001,1,PANCHTHAR,Gaunpalika,Falelung,2,71995.60696590002,207140709.23000001907,774,774,0.08433200000,8.21602900000,"11",927.31500000000,774,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",836726.06480599998,8.03429204075,0.08432718877
2001,1,PANCHTHAR,Gaunpalika,Falelung,2,71995.60696590002,207140709.23000001907,782,782,0.00095900000,0.34268900000,"12",10.53100000000,782,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,34996.22234090000,0.33486943998,0.00095563009
2001,1,PANCHTHAR,Gaunpalika,Falelung,2,71995.60696590002,207140709.23000001907,797,797,0.00175900000,0.88497100000,"12",19.32300000000,797,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,89914.03699140000,0.86020159962,0.00175083543
2001,1,PANCHTHAR,Gaunpalika,Falelung,2,71995.60696590002,207140709.23000001907,799,799,0.00098200000,0.38793800000,"12",10.79300000000,799,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,39542.88010660000,0.38086372610,0.00098417274
2002,1,PANCHTHAR,Gaunpalika,Falgunanda,2,60365.36941430000,107527760.63899999857,774,774,0.08433200000,8.21602900000,"11",927.31500000000,774,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",836726.06480599998,8.03429204075,0.08432718877
2002,1,PANCHTHAR,Gaunpalika,Falgunanda,2,60365.36941430000,107527760.63899999857,796,796,0.00236000000,0.97735000000,"12",25.93000000000,796,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,99407.57246820000,0.96337249409,0.00236419371
2002,1,PANCHTHAR,Gaunpalika,Falgunanda,2,60365.36941430000,107527760.63899999857,821,821,0.00195500000,0.77047400000,"12",21.48600000000,821,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,77913.93124280000,0.75097676655,0.00196962840
2003,1,PANCHTHAR,Gaunpalika,Hilihang,2,64459.68232340000,123010424.79499998689,700,700,0.04661300000,6.85440700000,"12",511.29900000000,700,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,701248.23501299997,6.71358581795,0.04666430386
2003,1,PANCHTHAR,Gaunpalika,Hilihang,2,64459.68232340000,123010424.79499998689,724,724,0.01885100000,2.58577200000,"11",206.87800000000,724,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",267585.61836399999,2.55020592406,0.01880903208
2003,1,PANCHTHAR,Gaunpalika,Hilihang,2,64459.68232340000,123010424.79499998689,756,756,0.00998300000,1.83908400000,"11",109.57000000000,756,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",187009.68591000000,1.78491293674,0.00996604617
2004,1,PANCHTHAR,Gaunpalika,Kummayak,2,67081.01437310000,129296146.72600001097,510,510,0.02618500000,17.72250400000,"9",287.36000000000,510,126,2334,25.40000000000,230,9,SV,UF2,CMg,UF2,Fluvial non calcareous,1826155.30468000006,17.46903102040,0.02608447635
2004,1,PANCHTHAR,Gaunpalika,Kummayak,2,67081.01437310000,129296146.72600001097,724,724,0.01885100000,2.58577200000,"11",206.87800000000,724,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",267585.61836399999,2.55020592406,0.01880903208
2004,1,PANCHTHAR,Gaunpalika,Kummayak,2,67081.01437310000,129296146.72600001097,738,738,0.00965100000,3.30020300000,"12",106.00900000000,738,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,340447.03499800002,3.24711171643,0.00964206127
2004,1,PANCHTHAR,Gaunpalika,Kummayak,2,67081.01437310000,129296146.72600001097,774,774,0.08433200000,8.21602900000,"11",927.31500000000,774,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",836726.06480599998,8.03429204075,0.08432718877
2004,1,PANCHTHAR,Gaunpalika,Kummayak,2,67081.01437310000,129296146.72600001097,796,796,0.00236000000,0.97735000000,"12",25.93000000000,796,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,99407.57246820000,0.96337249409,0.00236419371
2004,1,PANCHTHAR,Gaunpalika,Kummayak,2,67081.01437310000,129296146.72600001097,828,828,0.00129500000,0.57368300000,"12",14.23700000000,828,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,58380.01072890000,0.56083182399,0.00129296475
2004,1,PANCHTHAR,Gaunpalika,Kummayak,2,67081.01437310000,129296146.72600001097,836,836,0.00172900000,0.75339000000,"12",19.01800000000,836,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,76474.91010110000,0.73997624867,0.00173240013
2005,1,PANCHTHAR,Gaunpalika,Miklajung,2,84657.09524810000,166606464.61300000548,510,510,0.02618500000,17.72250400000,"9",287.36000000000,510,126,2334,25.40000000000,230,9,SV,UF2,CMg,UF2,Fluvial non calcareous,1826155.30468000006,17.46903102040,0.02608447635
2005,1,PANCHTHAR,Gaunpalika,Miklajung,2,84657.09524810000,166606464.61300000548,774,774,0.08433200000,8.21602900000,"11",927.31500000000,774,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",836726.06480599998,8.03429204075,0.08432718877
