Province     , District        , Crop     , Area_Ha, Production_Mt, Yield_MtHa, Year_BS, Year_AD
MADHESH      , MAHOTTARI       , Wheat    , 24292  , 72050        , 2.97      , 2075/76, 2018/19
MADHESH      , SARLAHI         , Maize    , 11123  , 36050        , 3.24      , 2075/76, 2018/19
MADHESH      , SARLAHI         , Wheat    , 22462  , 74138        , 3.3       , 2075/76, 2018/19
MADHESH      , RAUTAHAT        , Maize    , 3416   , 10907        , 3.19      , 2075/76, 2018/19
MADHESH      , RAUTAHAT        , Wheat    , 14982  , 53719        , 3.59      , 2075/76, 2018/19
MADHESH      , BARA            , Maize    , 11941  , 43477        , 3.64      , 2075/76, 2018/19
MADHESH      , BARA            , Wheat    , 27094  , 94329        , 3.48      , 2075/76, 2018/19
MADHESH      , PARSA           , Maize    , 4412   , 16973        , 3.85      , 2075/76, 2018/19
MADHESH      , PARSA           , Wheat    , 21981  , 78563        , 3.57      , 2075/76, 2018/19
BAGMATI      , DOLAKHA         , Maize    , 6054   , 17018        , 2.81      , 2075/76, 2018/19
BAGMATI      , DOLAKHA         , Wheat    , 4236   , 8260         , 1.95      , 2075/76, 2018/19
BAGMATI      , SINDHUPALCHOK   , Maize    , 24687  , 69445        , 2.81      , 2075/76, 2018/19
BAGMATI      , SINDHUPALCHOK   , Wheat    , 6927   , 8058         , 1.16      , 2075/76, 2018/19
BAGMATI      , RASUWA          , Maize    , 2507   , 6017         , 2.4       , 2075/76, 2018/19
BAGMATI      , RASUWA          , Wheat    , 701    , 1371         , 1.96      , 2075/76, 2018/19
BAGMATI      , RAMECHAP        , Maize    , 22034  , 63370        , 2.88      , 2075/76, 2018/19
BAGMATI      , RAMECHAP        , Wheat    , 3899   , 8816         , 2.26      , 2075/76, 2018/19
BAGMATI      , SINDHULI        , Maize    , 25136  , 80284        , 3.19      , 2075/76, 2018/19
BAGMATI      , SINDHULI        , Wheat    , 5645   , 17318        , 3.07      , 2075/76, 2018/19
BAGMATI      , KAVRE           , Maize    , 24643  , 76590        , 3.11      , 2075/76, 2018/19
BAGMATI      , KAVRE           , Wheat    , 8292   , 24030        , 2.9       , 2075/76, 2018/19
BAGMATI      , BHAKTAPUR       , Maize    , 1998   , 8016         , 4.01      , 2075/76, 2018/19
BAGMATI      , BHAKTAPUR       , Wheat    , 2172   , 11113        , 5.12      , 2075/76, 2018/19
BAGMATI      , LALITPUR        , Maize    , 9165   , 31253        , 3.41      , 2075/76, 2018/19
BAGMATI      , LALITPUR        , Wheat    , 2601   , 8870         , 3.41      , 2075/76, 2018/19
BAGMATI      , KATHMANDU       , Maize    , 6420   , 24653        , 3.84      , 2075/76, 2018/19
BAGMATI      , KATHMANDU       , Wheat    , 2141   , 8862         , 4.14      , 2075/76, 2018/19
BAGMATI      , NUWAKOT         , Maize    , 16879  , 59650        , 3.53      , 2075/76, 2018/19
BAGMATI      , NUWAKOT         , Wheat    , 4134   , 14069        , 3.4       , 2075/76, 2018/19
BAGMATI      , DHADING         , Maize    , 20678  , 58601        , 2.83      , 2075/76, 2018/19
BAGMATI      , DHADING         , Wheat    , 4638   , 12276        , 2.65      , 2075/76, 2018/19
BAGMATI      , MAKWANPUR       , Maize    , 25886  , 81722        , 3.16      , 2075/76, 2018/19
BAGMATI      , MAKWANPUR       , Wheat    , 3915   , 13202        , 3.37      , 2075/76, 2018/19
BAGMATI      , CHITWAN         , Maize    , 5763   , 21381        , 3.71      , 2075/76, 2018/19
BAGMATI      , CHITWAN         , Wheat    , 5055   , 23199        , 4.59      , 2075/76, 2018/19
GANDAKI      , MANANG          , Maize    , 68     , 107          , 1.58      , 2075/76, 2018/19
GANDAKI      , MANANG          , Wheat    , 199    , 278          , 1.4       , 2075/76, 2018/19
GANDAKI      , MUSTANG         , Maize    , 551    , 920          , 1.67      , 2075/76, 2018/19
GANDAKI      , MUSTANG         , Wheat    , 544    , 1028         , 1.89      , 2075/76, 2018/19
GANDAKI      , GORKHA          , Maize    , 17567  , 45253        , 2.58      , 2075/76, 2018/19
GANDAKI      , GORKHA          , Wheat    , 3653   , 7951         , 2.18      , 2075/76, 2018/19
GANDAKI      , LAMJUNG         , Maize    , 9935   , 23943        , 2.41      , 2075/76, 2018/19
GANDAKI      , LAMJUNG         , Wheat    , 1627   , 1381         , 0.85      , 2075/76, 2018/19
GANDAKI      , TANAHU          , Maize    , 22647  , 73693        , 3.25      , 2075/76, 2018/19
GANDAKI      , TANAHU          , Wheat    , 1682   , 3821         , 2.27      , 2075/76, 2018/19
GANDAKI      , KASKI           , Maize    , 13624  , 34632        , 2.54      , 2075/76, 2018/19
GANDAKI      , KASKI           , Wheat    , 5951   , 13303        , 2.24      , 2075/76, 2018/19
GANDAKI      , PARBAT          , Maize    , 13673  , 31721        , 2.32      , 2075/76, 2018/19
GANDAKI      , PARBAT          , Wheat    , 2646   , 6775         , 2.56      , 2075/76, 2018/19
GANDAKI      , SYANGJA         , Maize    , 26457  , 96489        , 3.65      , 2075/76, 2018/19
GANDAKI      , SYANGJA         , Wheat    , 5185   , 13446        , 2.59      , 2075/76, 2018/19
GANDAKI      , MYAGDI          , Maize    , 9431   , 32697        , 3.47      , 2075/76, 2018/19
GANDAKI      , MYAGDI          , Wheat    , 2861   , 7132         , 2.49      , 2075/76, 2018/19
GANDAKI      , BAGLUNG         , Maize    , 20697  , 72170        , 3.49      , 2075/76, 2018/19
GANDAKI      , BAGLUNG         , Wheat    , 6493   , 15439        , 2.38      , 2075/76, 2018/19
GANDAKI      , NAWALPARASIEAST, Maize    , 4651   , 11683        , 2.51      , 2075/76, 2018/19
GANDAKI      , NAWALPARASIEAST, Wheat    , 8409   , 22879        , 2.72      , 2075/76, 2018/19
LUMBINI      , PALPA           , Maize    , 21031  , 48624        , 2.31      , 2075/76, 2018/19
LUMBINI      , PALPA           , Wheat    , 5741   , 14710        , 2.56      , 2075/76, 2018/19
LUMBINI      , GULMI           , Maize    , 24086  , 61829        , 2.57      , 2075/76, 2018/19
LUMBINI      , GULMI           , Wheat    , 6601   , 19480        , 2.95      , 2075/76, 2018/19
LUMBINI      , ARGHAKHANCHI    , Maize    , 16729  , 57715        , 3.45      , 2075/76, 2018/19
LUMBINI      , ARGHAKHANCHI    , Wheat    , 5446   , 16067        , 2.95      , 2075/76, 2018/19
